language,dialect,accent,source,original_text,standard_persian_translation,english_translation,dezfuli_translation,dezfuli_transliteration,lori_translation,lori_transliteration,tonekaboni_translation,tonekaboni_transliteration,semnani_translation,semnani_transliteration,southern_kurdish_kalhori_translation,southern_kurdish_kalhori_transliteration,zoroastrian_yazdi_transliteration,dari_translation,isfahani_translation,isfahani_transliteration,shirazi_translation,shirazi_transliteration,khorasani_translation,khorasani_transliteration
Persian,"Persian, Iranian",General,ParsiAI/snappfood-sentiment-analysis,خورشتش مزه آب میداد و ٩٥٪‏ حجم قیمش لپه بود: / اصلا پیشنهاد نمیکنم!!:,خورشتش مزه آب میداد و ٩٥٪‏ حجم قیمش لپه بود: / اصلا پیشنهاد نمیکنم!!:,The stew tasted watery and 95% of the volume of the meat was lentils: / I definitely do not recommend it!!:,خورشش مِزه اوِ داد و ٩٥٪؜ حجم قيمش لپه بيد. اصن نَمگُمِت گِری,khoreshesh mezeh owe dād va 95% hajm gheymash lapeh bid. asan nagomet geri.,خورشش طوم او ایداد همشم لپه بی. مو هم نیگوم که بسونین,khoreshesh tume ow idad hamasham lapeh bi. Mo ham nigom ke besunin,اینه خورش مَزه آب دنه با، ٪۹۵ حجم قیمه ‌لپه با؛ اَصلَن پیشنهاد نَکونُم.,ine khoresh maze āb dane bā %95 ine gheyme lape bā aslan pishnahād nakonom.,ژو خورِش اُوْین مَزَه دٍردِش و نُوِه وُ پَنج دَرصَدی ژو قِیمٍتی لَپِه بِن، اَصلا سٍفارٍش مٍناکٍرون.,"zho khuresh owvin maza derdesh o nove vo panj darsadi zho qeymeti lape ben, aslā sefāresh menākerun.",خۆرشتەگێ مزەی ئاو دیا، گەشتیشی لەپە بی، ئەصلن پێشنهاد نه‌کەم,"khoreshtagey mazey āw diyā, geshtishi lappa bi, aslan pishnāhād nakam",khoreshtosh maze ow shedā o navado panj darsade hajme gheymash lapa bo aslosh chi pishnahād nakre,به جای کیک وانیلی کاکائویی، کیک کاکائویی ساده ارسال شده بود.,خورشتش طعمی آب میداد آ 95 درصد قیمه‌ش لپه بود :/ اصی پیشنهاد نیمیدم,khoreshtesh taami āb midād ā 95% gheymesh lappe bud asi pishnahad nimidam,خورشش مزِّی آب می‌داد و نود و پنج درصد حجم قیمه‌ش لپّه بود. اصلا پیشناهاد نَمی‌کنم.,Khoreshesh mazzey āb midād va navado panj darsade hajme qeymash lappe bud. Aslan pishnāhād namikonam.,بِرِ مو فِنتی نِدِره,bere mo fenti nedâre
Persian,"Persian, Iranian",General,ParsiAI/snappfood-sentiment-analysis,بسیار عالی و به موقع، ممنونم,بسیار عالی و به موقع، ممنونم,"Very good and timely, thank you.",خیلی خوب و سر وقت، ممنونم,"kheyli khob va sar vaght, mamnonam.",مهلی خش بی و سر وقت. ممنونم,mahli khash bi va sare vaqt. Mamnunam,بسیار عالی و خوش‌موقع، ممنونُم.,"besyar āli o khosh moghe, mamnunom.",خِیلی عالی و بٍه مُوْقَه با، مَمنینون.,"kheyli āli o be mowqa bā, mamninun.",فره خاسو وە موقە، ده‌سەدان دەرد نه‌کەی,"fera khāso wa mogha, dasedān dard nakey",kheyli āli o be mowqa mamnunam,خورشتش مزه آب میداد و ٩٥٪‏ حجم قیمش لپه بود: / اصلا پیشنهاد نمیکنم!!:,خیلی عالی و سری وخ... ممنونم,"kheyli āliyā sari vakh, mamnunam.",خیلی عالی و به‌موقع. ممنون از شُمو.,Kheili ālio bemoqe‘. Mamnun az shomo.,می‌یی بِرِم قله,miyi berem qale
Persian,"Persian, Iranian",General,ParsiAI/snappfood-sentiment-analysis,حجم ساندویجش کلا نصف شده!,حجم ساندویجش کلا نصف شده!,His sandwich size has completely halved!,حجم ساندویچش کلا نصف بوِس بيد,hajm sāndevichesh kolan nesf bowes bid,ساندویچش نصف ووبیده,sandvichesh nesf vobideh,حَجمِ ساندویچ کُلان نِصف با.,hajme sandevich kolan nesf bā,ساندٍویجین اٍندازَه نٍصف بٍبابا.,sāndevijin endāza nesf bebābā.,حەجمە ساندوێجەگێ کۆلن دو کۆتۆو بوو,hajme sāndewijagey kolan do kotow bu,hajme sāndevichosh aslan nesfa beza,بسیار عالی و به موقع، ممنونم,حجمی ساندویچش کلا نصف شده‌س,hajmi sāndevichesh kolan nesf shodees,حجم ساندویچش کلاً نصف شده!,Hajme sāndevichesh kollan nesf shodeh!,تُو قله قُربِغه زیاد دِره,tu qale qorbeqe ziyâd dare
Persian,"Persian, Iranian",General,ParsiAI/snappfood-sentiment-analysis,عالی.. فقط جای یه چنگال خالی بود,عالی.. فقط جای یه چنگال خالی بود,Great.. there was just one empty spot for a fork.,همه چی خوب، فقط جای یَ چنگال خالی بید,"hame chi khob, faghat jaye ya changāl khāli bid",عالی بی فقط جی چنگال خالی بی,āli faqa jey changāl khāli bi,عالی… فقط یه چَنگاله‌جا خالی با.,āli .. faghat ye changāle ja khāli bā,عالی با، فَقٍد جایی اییَه چٍنگالین خالی با.,"āli bā, faqed jāyi iya chengālin khāli bā.",خاس ... فەقەت جی یەی چەنگیریگ خالی بی,khās ... faqad ji yey chengirig khāli bi,āli ... paghat yāge yaki changāl khāli bo,حجم ساندویجش کلا نصف شده!,خب بود... فقط جا یه چنگال خالی بود,"khob bud, faghat ja ye changāl khāli bud",عالی. فقط جوی یِی چنگالی خالی بود.,Āli. Faghat joy yey changāli khāali bud.,به او کُچه سگ اُو بِدِن بُخُرِ,be u kuche sag u bedin bokhore
Persian,"Persian, Iranian",General,ParsiAI/snappfood-sentiment-analysis,فوق العاده بی نمک بود و بوی تند گوشت میداد,فوق العاده بی نمک بود و بوی تند گوشت میداد,It was extremely bland and had a strong smell of meat.,کَلِ بيد و بو گوشتِ داد,kale bid va bo  goshte dād,مهلی بی نمک بی او بوی ضخم گوشت ایدا,mahli bi namak bi o buye zokhme gusht idad,فوق‌العاده بی‌نَمَک با و بوی تُندِ گوشت دانه با.,fogholāde bi namak bā va boye tonde gusht dane bā,خِیلی بی‌نٍمٍک با وُ بویی تُندی گوشتی مادِش.,kheyli binemek bā vo buyi tondi gushti mādesh.,فره بی نمک بی، بوی گه‌نە گوشتیش دیا,"fera bi nemak bi, buy gane gushtish diyā",kheyli kheyli bimnak bo o buze tonde gush shadā,عالی.. فقط جای یه چنگال خالی بود,خیلی بی‌نمک بود و بو تندی گوش میداد,kheyli binamek budā bu tondi gush midād,فوق‌العاده بی‌نمک بود و بوی تند گوشت می‌داد.,Fogholādeh binamak bud va buye tonde gusht midād.,اینا کُخ دِرَن,inâ kokh daran
Persian,"Persian, Iranian",General,ParsiAI/snappfood-sentiment-analysis,اول اینکه بوی بدی داشت دوم اینکه به همه چیز میخور به جز رست بیف جوری که منو یاد گوشت آب پز داخل دیزی انداخت بسیار خیس بود نان خشک و بد مزه‌ای داشت لطفا تناسب مایعات رو رعایت کنید احتمالا آخرین بار هست که سفارش از اینجا میدم,اول اینکه بوی بدی داشت دوم اینکه به همه چیز میخور به جز رست بیف جوری که منو یاد گوشت آب پز داخل دیزی انداخت بسیار خیس بود نان خشک و بد مزه‌ای داشت لطفا تناسب مایعات رو رعایت کنید احتمالا آخرین بار هست که سفارش از اینجا میدم,"First of all, it had a bad smell. Secondly, it touched everything except the roast beef, in a way that reminded me of boiled meat in a stew. It was very wet and had a dry and unpleasant bread. Please maintain the balance of liquids; this is probably the last time I order from here.",اول اين كه بو بدی بداد بعدشم به همه چی بُرد الا رست بیف. مُنِ يادِ گوشت آب پز مِن ديزی بِس. خیلیِ فيس بيد. نونش راق بيد و بد مِزِه. زیاد او نریزید مِنِش. بعد ايان اَ ايچون دَ گِ چی نَمخوام,avāl inke boye badi dāsht badesham be hame chi bord elā rostbif. mone yāde gosht āb paz men dizi bes. kheyli fes bid. nonesh rāgh bid va bad meze. ziyād ow narizid menesh. bade iyān a ichon da ge chi namkhām,اولش یه که بد بو بی دومش یه که و هرچه ایخه غیر رست بیف طری که مونه ویاد گوشت من اوگوشت انداخت. خیلی اوکی بی و نونشم خشک و بد طوم بی. نسبت اوشه حفظ کنین. بار اخره که اینجو سفارش ایدم,avalesh ye ke bad bu bi dovomesh ye ke va har che ikha gheyre rostbif. Tari ke mone yāde gushte mene owgusht endakht. Kheyli owaki bi va nunesham khoshko bad tum bi. Nesbat owshe hefz konin. Bāre ākhareh ke injo serāresh idom,اَوَل این‌که بویِ بَدی دنه با، دُوُم این‌که هَمه چیِه خارنه با جُز رُست‌بیفه که مِره یادِ گوشتِ آب‌پَزِ دیزی مین بِن‌داخته؛ بسیار خیس با، نان خُشک و بَد‌مَزه‌ای با. لُطفاً تَناسُبِ مایعات رو رعایت اَکونین؛ احتمالاً آخَرین باره که ایجه سفارش دنُم.,"aval inke boye badi dane bā dovom inke hame chie khārne bā joz rost bife ke mere yade gushte ābpaze dizie miyan bendakhte besyār khis bā, nān khoshko bad mazei bā, lotfan tanasobe māyeāte roāyat akonin ehtemālan akharin bare ke ije sefāresh danom",اُوٍّل اِن کو بویی بَدی دٍردِش، دویُّم اٍن کو بٍه هَمَه چی مُخورد، غِیری رَست بیف، جوری کو گوشتی آب پِزی کو دٍلَه دیزین وٍندِش خِیلی خُستَه بِبابا، نونی خُشک و بَدمَزِه‌ای دٍردِش. لُطفَن اٍندازِه‌ای مایِعاتی رٍعایٍت هاکٍرین. اٍحتٍمالَن آخٍرین دَفَه‌یَه کو اٍنجو چی مارون.,"ovvel en ko buyi badi derdesh, doyyom en ko be hama chi mokhurd, gheyri rast bif, juri ko gushti āb pezi ko dela dizin vendesh kheyli khosta bebābā, nuni khoshk o badmazeyi derdesh. lotfan endāzei māyeāti reāyet hākerin. ehtemālan ākherin dafaya ko enju chi mārun.",ئه‌وەڵ یه کە بوی گه‌نێگ دیاد، دۆوەم یه کە وە گەچەشت خواردیا جز ڕۆست بیف، کە کەفتەمه یادە گوشتە ئاوپزە ناو ئاگوشت، فره خیس بی، نانی خۆشک و بدمزه بی. لطفی بکەین ئەندازەی مایعاتو تاناسوبی ڕۆعایت بکەین، دی بارە ئاخەره وە ئیره سەفارش دەم,"awal ya ke buy ganig diyād, dowom ya ke wa gechesht khwardiā joz rost bif, ke kaftema yāde gushte āwpaze nāw āwgush, fera khis bi, nani khoshko badmazza bi. Lotfi bekeyn andāzey māyeātu tanāsowi roāyat bekeyn di bāre akhera wa ira sefāresh dam",aval moyege buze badish dārt dovom moyege behmachia kha bejoz rostbif juri ge ma she vire gushte ow paze tu diza va kheyli khis bo nune hoshk o badmazeish dārt lotfan tanāsobe māye‘āt ro re‘āyat okri ahtemālan ākharin karatian ke sefāresh az muyete ,فوق العاده بی نمک بود و بوی تند گوشت میداد,اول اینکه بو لاش میداد دوم اینکه به همه چی میخورد الا رست بیف یه جور که منا یاد گوشتی تو دیزی انداخت خیلی خیس بود نونش خشکا قاقاله‌ی بود لطفا تناسبی مایعاتا رعایت کونین احتمالا این باری آخرس که ازینجا سفارش میدم,avāl inke bu lāāsh midad dovvom inke be hame chi mikhord ellā rostbif ye jur ke mmanāyādi gushti tu dizi endakht kheyli khis bud nunesh khoshkā qaqaley but lotfan tanāsobi māyeāātā reāāyet kunin ehtemālan in bāri ākheres ke ezinja sefāresh midam,اول ایکه بوی بدی دُشت دوم ایکه به همه چی می‌خورد به جز رست بیف جوری که منو یاد گوشت آبپز داخل آبگوشت انداخت خیلی خیس بود نون خشک و بدمزه‌ای دُشت لطفاً تناسب مایعاته رعایت کنین احتمالاً آخرین باره که از اینجو سفارش می‌دم.,Aval ike buye badi dosht dovom ike be hame chi mikhord be joz rost bif juri ke mano yāde gushte ābpaz dākhele ābgusht endākht kheili khis bud nune khoshko badmazei dosht lotfan tanāsobe māye‘āte ra‘āyat konin ehtemālan ākherin bāre ke az injo sefāresh midam.,کوشاتو بپوش بِرِم,kushâtu bepush berem
Persian,"Persian, Iranian",Isfahani,https://www.delgarm.com/isfahani-dialect-training.a240735,پَ چرا نیمییَیْ؟,پس چرا نمی‌آیی؟,So why aren't you coming?,پَ اَچِ نَميايی؟,pa ache namyāei,سی چه نیی,si che niyey,پس چِرا نیانی؟,pas cherā niyāni?,پَس چٍرَه مٍنییا؟,pas chera meniyā,په ئەڕا نێتیەی؟,pa arrā nyatiey?,pa chera nāye,اول اینکه بوی بدی داشت دوم اینکه به همه چیز میخور به جز رست بیف جوری که منو یاد گوشت آب پز داخل دیزی انداخت بسیار خیس بود نان خشک و بد مزه‌ای داشت لطفا تناسب مایعات رو رعایت کنید احتمالا آخرین بار هست که سفارش از اینجا میدم,پَ چرا نیمییَیْ؟,pa cherā nimiyay,پس چرو نَمیوی؟,Pas chero namyoy?,کَق که نِدِره,kaq ke nedâre
Persian,"Persian, Iranian",Isfahani,https://www.delgarm.com/isfahani-dialect-training.a240735,ما وَم میَیم,ما هم می‌آییم,We are coming too.,اُمونَم بِمياييم,omonam bemyāeim,ما هم اییم,mā ham iyeym,اَما هم آنیم.,amā ham ānim,هَما هَم مِن.,hamā ham men.,ئیمەیش تێیەم,imeish tieym,mā jie tāyim,پس چرا نمی‌آیی؟,ما وَم میَیم,mā vam miyaym,ما عَم میویم.,Ma am mioym.,همه جا لِمَشت رِفته,hame jâ lemasht rafte
Persian,"Persian, Iranian",Isfahani,https://www.delgarm.com/isfahani-dialect-training.a240735,دِ جَل باش,عجله کن,Hurry up,دِ يَلا,de yalā,زی وو,zi vu,عَجَله هَکون.,ajale hakon,جَلدی با.,jaldi bā.,زوو که,zu ka,zibo,ما هم می‌آییم,دِ جَل باش,de jal bāsh,زودی باش / دس بجمبون,Zudi bāsh / Das bojombun,مشدی زِق حرف مِزِنه,mashdi zeq harf mezane
Persian,"Persian, Iranian",Isfahani,https://www.beytoote.com/fun/comic-subject/master-discontinuous-esfahani.html,بولونی پَ کوجای پَ؟,پس کجایی عزیزم؟,"So where are you, my dear?",پَ كِجايی كَسونُم؟,pa kejāei kasonom,په کوونی عزیزوم,pa kuveni azizom,پس کُجه دری عزیزُم؟,pas koje dari azizom?,پَس کُجَه دَرِه عَزیزی مو؟,pas koja dare azizi mo,په هایده کوو عزیزەکم؟,pa hāyda ku azizakam?,koyāyi azize delom,عجله کن,بولونی پَ کوجای پَ؟,buluni pa kujāy pa,پس کُجُی عزیزُم؟,Pas kojoy azizom,بِره چی اقد مس مس مُکُنی,bere chi aqad mes mes mokoni
Persian,"Persian, Iranian",Isfahani,https://www.beytoote.com/fun/comic-subject/master-discontinuous-esfahani.html,بیا بریم ناهار بخوریم. وای نه یه زا آلاشغال خوردم تو دلم انقلابه.,بیا برویم ناهار بخوریم. وای نه، یک چیز آشغال خوردم، دلم به‌هم ریخته.,"Let's go have lunch. Oh no, I ate something trashy, my stomach is upset.",دِ بيا روييم نهار خورييم. وِيلَتِه چِ فِگِری خُوَردَم، دِلُم شيوِس,"de biyā roim nahār khowarim. veylateh che fegeri khowardam, delom shives",بیو بریم چاس بخریم. نه یچی آشغالی خردمه دلمه ایچی ونه,biow berim chās bekharim. na yechi āshghāli khardameh delemeh ichi veneh,بیا بیشیم ناهار بوخاریم. وای نه، یه چی آشغال بوخاردم، می دِل بِهَم بِریخته.,"biya bishim nāhār bokhārim. vay na, ye chi āshghāl bokhārdom, mi del beham berikhte. ",بیا بَشین ناهار بَخورین، وای، نَه، ای چی‌ئی آشغالی بُخوردَن، مو دٍل هُم ریتَه‌یَه.,"biyā bashin nāhār bakhurin, vāy, na, i chii āshghāli bokhurdan, mo del hom ritaya.",باو بچیم ناهار بخوێم. آی نه، یەی چەشتە گه‌نێگ خواردەمە، دڵەم شیویاسە یەک,"bāw bechim nāhār bkhweym. āy na, yey cheshte ganig khwardema, delem shiwiyāsa yak.",bio beshim chom vakhrim. vāy na ya chome āshghāli mkharta delme gale hama,پس کجایی عزیزم؟,بیا بریم ناهار بخوریم. وای نه یه زا آلاشغال خوردم تو دلم انقلابه.,biyā berim nāhār bokhorim vāy na yezā ālāshqal khordaam tu deman enqelābe,بیو بیریم ناهار بخوریم. وُی نه، یِی چی آشغالی خوردم، دلُم ریخته به هم.,"Bio birim nāhār bokhorim. Voy na, yey chi āshghāli khordam, delom rikhteh be ham.",وسی کو تقی,vasi ku taqi
Persian,"Persian, Iranian",Isfahani,https://www.delgarm.com/isfahani-dialect-training.a240735,منا تو آ حسن,من و تو و حسن,"Me, you, and Hassan.",مُنُ تونو حسن,mono tono hasan,مو و تو و حسن,mo wo to wo hasan,مِنو تو و حَسَن,meno to o hasan,اَ وُ تو وُ حَسَن.,a vo to vo hasan.,منو تۆنو حەسەن,meno tono hasan,mao to o Hasan,بیا برویم ناهار بخوریم. وای نه، یک چیز آشغال خوردم، دلم به‌هم ریخته.,منا تو آ حسن,manā tovā hasan,من و تو و حسن,Mano towo hasan,وقتی به مو گفت یهو وا رِفتُم,vaghti be mo goft yahu vâ raftom
Persian,"Persian, Iranian",Isfahani,https://www.delgarm.com/isfahani-dialect-training.a240735,گلا بلبلا سنبل,گل و بلبل و سنبل,"Flower, Nightingale, and Tulip",گل و بلبل و سنبل,golo bolbolo sonbol,گل و بلبل و سنبل,golo bolbolo sonbol,گُلو بُلبُلو سُنبُل,golo bolbolo sonbol,گُل و بُلبُل و سُنبُل.,gol o bolbol o sonbol.,گۆڵۆ بڵبڵۆ سۆمۆڵ,golu belbelu semmol,gulo bolbolo sonbol,من و تو و حسن,گلا بلبلا سنبل,golā bolbolā sonbol,گل و بلبل و سمبل,Golo bolbolo sombol,آب نُبات پیک,âb nobât pik
Persian,"Persian, Iranian",Isfahani,https://www.delgarm.com/isfahani-dialect-training.a240735,۵ آ ۴ آ ۳,۵+۴+۳,5+4+3,۵+۴+۳,5+4+3,پنج و چار و سه ریک,pango chāro se riak,پَنج به‌علاوهٔ چار به‌علاوهٔ سِه,panj be alāveye chār be alāweye se,پَنج با چار و هِیرَه.,panj bā chār o heyra.,پەنج بە ئەلاوەی چوار بە ئەلاوەی سێ,panj be alāwey chwār be alāwey se,panj o chār o se,گل و بلبل و سنبل,۵ آ ۴ آ ۳,sevā chārā panj,پنج و چار و سه,Panjo chāro seh,از هم بدر رِفتن,az ham badr raftan
Persian,"Persian, Iranian",Isfahani,https://www.delgarm.com/isfahani-dialect-training.a240735,دِ پَ چرا نیمیای؟,آخه پس چرا نمی‌آیی؟,Then why don't you come?,اوخِی پَ اَچِ نَومِيیَ,okhey pa ache naowmeya,په سیچه نیی,pa siche niyey,چِرا نِیانی پس؟,cherā neyāni pas?,آخٍه پَس چٍرَه مٍنییا؟,ākhe pas chera meniyā,یه په ئەڕا نێتیەی؟,ya pa arrā nyatiey?,ākhe cherā nāyi,۵+۴+۳,دِ پَ چرا نیمیای؟,de pa cherā nimiyay,خو پَ چرو نمیوی؟,Kho pa chero namioy?,وا لِک شُو,vâ lek shu
Persian,"Persian, Iranian",Isfahani,https://www.beytoote.com/fun/comic-subject/master-discontinuous-esfahani.html,کمرم شیت شد,کمرم داغون شد.,My back is in pain.,قَلُم بُرِس,ghalom bores,کمرم اشکست,kamarom eshkast,می کَمَر داغان بابا.,mi kamar dāghān bābā,مو کَمٍر داغُن وابا.,mo kamer dāghon vābā.,کەمەرەم شێکیا,kamarem shekyā,kmarom az beyn sho,آخه پس چرا نمی‌آیی؟,کمرم شیت شد,kamaram shit shod,کَمَرُم پُکید.,Kamarom pokid.,ور سر دو چِلِک,var sar do chelek
Persian,"Persian, Iranian",Shirazi,Manual,ای کارو که اقد اسم اسم کردن نداره که,این کار که انقدر به فس فس کردن و دیر جنبیدن نیاز ندارد.,This task does not require as much hesitation and delayed action.,پَ اَچِ اَقدَر فس فسِ كُنی,pa ache aghdar fes fese koni,نیخو این کاره فس فس کنی و معطل کنی,nikho in kāre fes fes koni o ma'tal koni,این کار خُو اندی فِس‌فِس کَردن و دیر جُنبیدن نیاز نِداره.,in kar khā andi fes fes kardano dir jonbidan niāz nedāre,اٍن کاری کو اٍنقٍد چُس چُس کٍردییُن و دیر بٍجُنبییُن نٍدارِه.,en kāri ko enqed chos chos kerdiyon o dir bejonbiyon nedāre.,ئی کارە ئەقوەره وە فس فس کەردنو دێر جۆمین نیازێ نێرێ,i kāra aqwara wa fes fes kerdeno dir jomin niāzi neyre,mo kāre ke mokade be pes pes kārtvun o kineham jomnāzvun nadāra,کمرم داغون شد.,این کار که اینقده فس زدن ندارد که,in kār ke inqade fes zedan nadāred ke,ای کارو که اقد اُسُم اُسُم کردن نداره که,I kāru ke eqad osom osom kerdan nadāreh keh,خف کن عزیزُم خف کن,khof kon azizom khof kon
Persian,"Persian, Iranian",Shirazi,Manual,یه بار دیگه ایجوری بشه می‌خوابم تو خرش,یک بار دیگر این‌طور بشود، با او دعوا می‌کنم.,"If this happens again, I will argue with him.",اَ يَرَ دِگِ ايطور بييِس پِيِش دعوا كُنُم, aa yara dege itor biyes peyesh daavā konom,ای یه دفعه دیه ایچنو ووبی دعواش ایکنم,ay ye dafe diyeh icheno vobi davāsh ikonom,یه‌باره دیگه ایتا بابا وی هَمراه دعوا کانُم.,yebāre dige itā bābā vi hamrā davā kanom,اینی دَفَه اٍنجور بَبو، ژو رَه دَعوا ماکٍرون.,"ini dafa enjur babu, zho ra davā mākerun.",یەی دەفعە تەر ئیجو بوود وە گەردی جەنگ کەم,yey dafa ter iju bud wa gardi jang kam,yakarebe mobsare bo khozod davokre,این کار که انقدر به فس فس کردن و دیر جنبیدن نیاز ندارد.,اگه یه بار دیگه هنچینکی بشد باش دعوا میکونم,ege ye bār dige hanchineki beshed bāsh daavā mikunam,یه بار دیگه ایجوری بشه می‌خوابم تو خرش,Ye bār dige ijuri besheh mikhābam tu kheresh,سِله به چُخت دِلنگونه,sele be chokht delengune
Persian,"Persian, Iranian",Shirazi,Manual,از به خوب بود کم‌پیچ گرفتم.,از بس خوب بود، دل‌پیچه گرفتم.,It was so good that I got a stomachache.,اَ چَن خوب بيد دِلُم شِوِس,a chan khob bid delom sheves,از بی خوب بی کم درد گرفتم,az bas khub bi kom dard gereftom,از بس خوب با، دِل پیچه بِیتُم.,"az bas khub bā, del piche beytom",بَسکی خُوْ با، دٍل پیچَه بِگیتَن.,"baski khow bā, del picha begitan.",ئەقوەره خاس بی، دڵەم شیویاسە وە یەک,"aqwara khās bi, delem shiwiyā wa yak",okadi khib bo delpiche prānte,یک بار دیگر این‌طور بشود، با او دعوا می‌کنم.,از بس خب بود دلم پیچ میزند,ez bas khob bud delam pich mizened,از به خوب بود کم‌پیچ گرفتم.,Az beh khub bud kompich gereftam,یَرَه گَه کارِ مو و تو دِرَه بالا می‌گیرِه,yare ga kâr mo o to dare balâ migire
